Family,Distance_to_core,Time_to_germination,Days_to_flower,Veget_biomass,Avg_bnr_wdth,Avg_bnr_lgth,Avg_stolon_thick,Avg_seeds_per_flower,sex_asex
13_5,20.25081019161363,4.666666666666667,70,3.4924,3.5572222222222223,5.901111111111111,1.2866666666666666,1.6424517374517371,0.3704615737028978
13_6,20.25081019161363,4,48.333333333333336,4.083066666666666,3.7083333333333335,6.370555555555556,1.4383333333333337,2.9727447408394463,0.7107729484374492
13_7,20.25081019161363,4.333333333333333,61.5,4.6130666666666675,3.193333333333334,5.264166666666666,1.3083333333333331,2.915430338258728,0.4597375570842244
13_8,20.25081019161363,4.75,61,3.53365,3.8758333333333335,6.620416666666666,1.32125,1.8311216176694771,0.4111329644984648
14_1,21.936116076110327,4.333333333333333,59,2.6457333333333337,3.597777777777778,6.326666666666667,1.2466666666666668,3.130879006832114,0.756110467167263
14_3,21.936116076110327,3.6666666666666665,60.333333333333336,2.8207333333333335,3.5016666666666665,6.0344444444444445,1.29,2.0226785035536565,0.916002930679965
14_4,21.936116076110327,4.333333333333333,61.666666666666664,2.5114,3.495,5.887777777777778,1.346666666666667,1.9920562089173992,0.6396697725040483
14_5,21.936116076110327,6,58.666666666666664,2.299066666666667,3.637777777777778,5.971666666666667,1.2566666666666668,2.2174609810479375,0.6126254132111582
14_6,21.936116076110327,5,67.66666666666667,4.445733333333334,3.6822222222222223,6.059444444444445,1.25,3.6621423330887746,0.38744264163392617
14_7,21.936116076110327,3.3333333333333335,62.666666666666664,4.612733333333334,3.509444444444444,6.2,1.278333333333333,0.9870390070921986,0.40174300125738904
14_8,21.936116076110327,3,55.333333333333336,3.3027333333333337,3.468888888888889,6.440555555555556,1.5066666666666668,2.7758372048006192,0.8589249308653438
15_1,23.663587997705708,3.75,61,4.20215,3.3616666666666664,5.745833333333334,1.29625,3.1471447629332436,0.5730518901038755
15_2,23.663587997705708,4,54.666666666666664,2.576066666666667,3.7094444444444448,6.661111111111111,1.3533333333333333,2.518355119825708,0.8820165109598612
15_3,23.663587997705708,3.3333333333333335,62.666666666666664,4.751733333333334,3.631666666666667,6.658333333333333,1.38,2.87856123655025,0.28336326393175826
15_4,23.663587997705708,3.3333333333333335,50.666666666666664,2.6539333333333337,3.493888888888889,5.946111111111112,1.3733333333333333,2.7121043417366946,0.6344545203345977
15_5,23.663587997705708,4.333333333333333,68,3.640733333333334,3.542222222222222,6.131666666666667,1.4983333333333333,3.4583858764186632,0.5306073867902072
15_6,23.663587997705708,3.5,68,5.9644,4.004166666666666,6.439166666666667,1.265,2.995330710955711,0.3423311649118101
15_7,23.663587997705708,4,65.66666666666667,3.794066666666667,3.431666666666666,6.351666666666667,1.225,2.597412421380799,0.6582558732055315
16_1,25.27159407214257,5.333333333333333,67.5,3.9090666666666665,3.831666666666667,6.714166666666667,1.3666666666666667,2.7943935097895287,0.30975851013029543
16_2,25.27159407214257,4,65,4.123066666666667,3.5661111111111112,5.713888888888889,1.5633333333333332,2.0768875192604006,0.2961711347540666
16_3,25.27159407214257,4,69.33333333333333,3.5647333333333333,3.5733333333333337,6.204444444444444,1.565,4.023148486027992,0.45411531484356016
16_4,25.27159407214257,5.333333333333333,67,5.2104,3.746666666666667,6.311666666666667,1.7475,4.494741784037559,0.17950637187164134
