patRIL,Treat,Dm01792789_g1,Dm01793858_g1,Dm01798339_g1,Dm01798691_g1,Dm01798946_g1,Dm01798992_g1,Dm01799655_g1,Dm01801937_g1,Dm01802841_g1,Dm01803993_g1,Dm01807222_m1,Dm01810402_g1,Dm01813055_g1,Dm01813266_g1,Dm01815101_g1,Dm01816738_g1,Dm01818330_g1,Dm01822194_m1,Dm01822280_g1,Dm01822534_g1,Dm01823183_g1,Dm01825257_g1,Dm01825738_m1,Dm01829117_g1,Dm01829677_g1,Dm01829746_g1,Dm01829971_g1,Dm01837277_g1,Dm01842621_g1,Dm01842882_m1,Dm01842928_g1,Dm01843300_g1,Dm01843706_m1,Dm01844965_g1,Dm01845207_g1,Dm01846623_g1,Dm02135088_g1,Dm02136225_g1,Dm02138179_g1,Dm02140028_g1,Dm02140207_g1,Dm02141794_g1,Dm02142684_g1,Dm02144162_s1,Dm02144278_g1,Dm02144969_g1,Dm02147969_g1,Dm02149560_g1,Dm02149812_m1,Dm02154337_g1,Dm02371846_s1,Dm02773276_u1
22213,DR,0.206921525,-0.980130754,0.906101274,-0.561964304,1.33292277,0.177955456,0.401041691,2.348130201,-0.295190464,-0.927995886,0.123186717,1.383153237,0.513124929,0.339761287,-0.472797816,0.420364508,-0.469680913,0.084487393,0.023979107,1.449633077,0.324659509,0,-0.789103073,-0.818981975,-1.377368967,1.70616284,-0.312522102,-0.826996521,0.339761287,0.216043285,0.789103073,0,-0.6091394,0.198689431,-0.387007122,-0.384114346,-0.585149044,-0.441620053,-1.110595127,0.300309736,-0.314857248,0.280345528,-0.814205672,0.22108204,-0.653825658,0.473704101,0.027061538,-5.55E-17,0.227282615,0.086742838,-0.66779103,-0.153755332
22230,HS,0.782429395,-0.918245093,-0.19032227,1.672937388,0.918245093,-0.546233181,-1.073562376,2.348130201,-0.992908151,0.094731242,0.142364055,1.161882937,-0.047312518,0.439392226,-0.719718858,-0.492110105,-1.906358003,-0.142364055,0.659719326,0.19032227,-0.848379932,0.992908151,-2.348130201,-0.094731242,-0.659719326,0.492110105,1.906358003,-0.337355327,1.260338797,-1.672937388,-0.439392226,-0.287688876,0,0.719718858,-1.505967676,1.372810323,-0.387868693,0.848379932,-1.260338797,0.287688876,-0.238722518,-0.602006499,-0.782429395,1.073562376,0.546233181,-1.161882937,-1.372810323,0.602006499,0.238722518,1.505967676,0.387868693,0.047312518
22304,C,-0.047312518,1.260338797,-0.142364055,-1.073562376,0.719718858,-0.659719326,0.387868693,1.372810323,-0.602006499,0.992908151,0.782429395,0,0.492110105,0.094731242,-0.782429395,0.546233181,0.19032227,-0.094731242,1.906358003,-0.387868693,1.505967676,-0.492110105,-1.906358003,0.439392226,1.161882937,1.672937388,-0.337355327,0.287688876,1.073562376,0.238722518,-0.546233181,0.047312518,-0.19032227,-1.260338797,-0.918245093,0.142364055,-0.848379932,-1.672937388,-0.287688876,-0.439392226,-1.372810323,-0.992908151,0.848379932,0.918245093,0.337355327,-0.719718858,-1.161882937,-1.505967676,0.602006499,2.348130201,-2.348130201,-0.238722518
22381,DR,-0.142364055,0.19032227,0.439392226,0.659719326,-2.348130201,-0.546233181,1.672937388,1.372810323,-0.492110105,0.546233181,-0.337355327,2.348130201,-0.918245093,0.719718858,0.337355327,-1.906358003,-1.672937388,-0.287688876,0.992908151,0.918245093,-1.161882937,-0.848379932,-1.505967676,1.260338797,-0.719718858,1.906358003,0,-0.659719326,-1.073562376,1.161882937,0.782429395,-1.372810323,1.505967676,0.047312518,-0.782429395,1.073562376,-0.387868693,-0.439392226,0.387868693,-0.992908151,-0.094731242,-0.602006499,0.238722518,-0.047312518,-0.238722518,-0.19032227,0.094731242,-1.260338797,0.602006499,0.287688876,0.848379932,0.142364055
22206,DR,0.546233181,-1.073562376,-0.337355327,-2.348130201,-0.387868693,-0.094731242,1.260338797,-1.372810323,-0.142364055,-0.439392226,0.142364055,-0.659719326,-1.260338797,1.161882937,0.602006499,0.659719326,1.505967676,0.848379932,-1.505967676,-1.672937388,1.906358003,0.047312518,-0.492110105,-0.782429395,-0.848379932,0.287688876,-0.047312518,0.719718858,-0.546233181,1.372810323,0.782429395,0.337355327,1.073562376,0.492110105,-0.287688876,-0.602006499,0.439392226,-0.992908151,0.992908151,0.238722518,1.672937388,0.19032227,0.918245093,-1.906358003,0.387868693,-0.918245093,0.094731242,-0.719718858,2.348130201,-0.238722518,-0.19032227,0
22259,HS,0,-0.439392226,-0.142364055,0.719718858,-1.672937388,0.094731242,-0.782429395,-1.505967676,-0.19032227,-1.161882937,0.19032227,1.505967676,-0.918245093,0.142364055,1.161882937,-0.492110105,-0.238722518,1.073562376,0.992908151,-1.073562376,-0.659719326,0.387868693,1.672937388,0.782429395,-0.992908151,0.047312518,0.492110105,-1.372810323,-2.348130201,-0.287688876,-1.260338797,2.348130201,-0.602006499,0.918245093,1.372810323,0.546233181,0.602006499,0.238722518,-1.906358003,0.439392226,0.659719326,-0.387868693,-0.546233181,-0.337355327,-0.848379932,-0.094731242,-0.047312518,0.287688876,0.337355327,-0.719718858,1.260338797,0.848379932
22259,C,-0.287688876,-2.348130201,-1.161882937,-1.372810323,-0.337355327,1.161882937,0.337355327,-0.992908151,0.659719326,-0.659719326,0.848379932,1.372810323,0.918245093,0.602006499,-0.439392226,-0.19032227,0.492110105,0.142364055,0.287688876,-1.073562376,1.672937388,-0.387868693,-1.260338797,-0.719718858,1.906358003,2.348130201,-0.546233181,0.047312518,-0.782429395,-0.142364055,-0.238722518,-0.094731242,0.546233181,-0.047312518,1.505967676,-1.906358003,1.260338797,0.782429395,-0.602006499,0.238722518,0.387868693,-0.848379932,0.439392226,-1.505967676,0.19032227,1.073562376,-0.492110105,0.094731242,0.992908151,-1.672937388,0.719718858,0
22310,C,-0.492110105,-1.672937388,2.348130201,1.505967676,1.372810323,1.260338797,0.238722518,-0.719718858,0.659719326,-0.918245093,-0.602006499,-0.287688876,-0.047312518,0.142364055,-0.439392226,1.161882937,0,-0.19032227,0.287688876,0.492110105,0.337355327,-1.161882937,-2.348130201,-0.848379932,1.906358003,0.387868693,0.782429395,0.094731242,-1.372810323,0.602006499,0.992908151,-0.337355327,0.546233181,0.047312518,-1.073562376,-1.906358003,0.19032227,0.439392226,-0.782429395,-0.546233181,-0.094731242,-0.992908151,1.672937388,1.073562376,0.848379932,-1.260338797,-0.387868693,0.719718858,0.918245093,-1.505967676,-0.142364055,-0.238722518
22247,HS,0.287688876,1.161882937,-1.906358003,-0.918245093,0.659719326,0.782429395,-1.505967676,-0.782429395,2.348130201,0.492110105,0.387868693,-2.348130201,0.047312518,0.848379932,0.439392226,0.602006499,0.094731242,-0.19032227,-1.260338797,-0.848379932,-0.439392226,0.719718858,-0.992908151,-0.094731242,-0.238722518,-1.672937388,-0.142364055,0.337355327,-0.287688876,0,-0.659719326,1.505967676,-0.602006499,1.672937388,0.19032227,-0.387868693,-0.492110105,1.906358003,0.992908151,1.073562376,0.238722518,0.142364055,-0.047312518,-1.161882937,-0.546233181,1.372810323,-1.073562376,1.260338797,0.546233181,-1.372810323,-0.337355327,0.918245093
22167,C,-8.33E-17,0.590413642,-0.348368871,-0.400533707,0,0.295190464,-0.506928786,-1.000544623,0.927995886,-0.416961029,0.105239378,0.372237533,0.881944718,0.315278108,0.177955456,-0.099263117,0.326545733,0.348368871,-0.205979433,0.456724926,-0.604597728,0.329166149,0,-0.172042369,0.921661502,-0.730715534,-0.616772581,0.365416311,1.293426359,0.150063532,0.591615211,-0.086742838,0.384114346,-0.352609638,-0.161181999,-2.127244102,-0.243352372,-0.190543287,0.844205437,0.143844438,-1.110595127,-0.168677664,-0.300309736,-0.097495636,0.946918184,0.455020564,-1.393761213,-0.907650721,0.267061734,-0.368277725,0.353515922,0.495371994
